City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
229,Alugan,12.2188,125.4808,81.59,73,21,5.35,PH,few clouds,2022-01-09 06:53:32
230,Touros,-5.1989,-35.4608,76.1,83,24,7.16,BR,few clouds,2022-01-09 06:54:32
231,Ambulu,-8.345,113.6058,84.29,73,100,9.42,ID,overcast clouds,2022-01-09 06:54:33
232,Grindavik,63.8424,-22.4338,36.07,69,75,9.22,IS,broken clouds,2022-01-09 06:54:33
233,Cap Malheureux,-19.9842,57.6142,84.69,79,62,8.99,MU,broken clouds,2022-01-09 06:54:34
234,Jiuquan,39.7432,98.5174,31.32,41,100,6.44,CN,overcast clouds,2022-01-09 06:54:34
235,Port Augusta,-32.5,137.7667,98.71,13,0,10.2,AU,clear sky,2022-01-09 06:54:35
236,Dikson,73.5069,80.5464,-13.94,98,84,11.5,RU,broken clouds,2022-01-09 06:54:35
237,Yuzhne,46.6221,31.1013,37.62,95,100,11.59,UA,overcast clouds,2022-01-09 06:54:36
238,Whitehorse,60.7161,-135.0538,-29.9,66,100,3.0,CA,light snow,2022-01-09 06:51:41
239,Sept-Iles,50.2001,-66.3821,4.05,72,100,0.0,CA,overcast clouds,2022-01-09 06:54:37
240,Henties Bay,-22.116,14.2845,64.85,86,100,3.29,NA,overcast clouds,2022-01-09 06:54:37
241,Raudeberg,61.9875,5.1352,36.27,66,100,3.0,NO,overcast clouds,2022-01-09 06:53:11
242,Marrakesh,31.6315,-8.0083,41.07,60,0,4.61,MA,clear sky,2022-01-09 06:53:21
243,Yucca Valley,34.1142,-116.4322,49.06,41,54,1.99,US,broken clouds,2022-01-09 06:54:38
244,Poltavka,54.3663,71.7632,17.85,93,98,14.03,RU,overcast clouds,2022-01-09 06:54:39
245,Saint George,37.1041,-113.5841,45.19,52,0,4.0,US,clear sky,2022-01-09 06:51:22
246,Duku,11.2361,4.9073,70.65,21,0,5.19,NG,clear sky,2022-01-09 06:54:39
247,Tilichiki,60.4667,166.1,-0.33,86,99,9.17,RU,overcast clouds,2022-01-09 06:54:40
248,Rio Gallegos,-51.6226,-69.2181,48.25,57,40,8.05,AR,scattered clouds,2022-01-09 06:54:40
249,Talnakh,69.4865,88.3972,10.17,94,100,9.8,RU,light snow,2022-01-09 06:54:40
250,Korla,41.7597,86.1469,32.59,39,0,1.66,CN,clear sky,2022-01-09 06:54:41
251,Rivera,-30.9053,-55.5508,60.55,81,24,8.77,UY,few clouds,2022-01-09 06:54:42
252,Weligama,5.9667,80.4167,81.45,78,100,5.44,LK,overcast clouds,2022-01-09 06:54:44
253,Richards Bay,-28.783,32.0377,80.74,62,63,8.66,ZA,broken clouds,2022-01-09 06:54:45
254,Reconquista,-29.15,-59.65,69.85,59,0,6.46,AR,light rain,2022-01-09 06:54:45
255,Bandar,2.05,99.75,85.06,73,59,2.15,ID,broken clouds,2022-01-09 06:54:46
